Topic,Problem,Difficulty,Pattern
Graphs - Shortest Path,Dijkstra's Algorithm,Hard,GRAPHS: Shortest Path / Heap
Graphs - Shortest Path,Why PQ in Dijkstra's,Hard,GRAPHS: Shortest Path / Heap
Graphs - Shortest Path,Shortest Distance in Binary Maze,Hard,GRAPHS: Shortest Path / BFS
Graphs - Shortest Path,Path with minimum effort,Hard,GRAPHS: Shortest Path / Dijkstra / Heap
Graphs - Shortest Path,Cheapest flight within K stops,Hard,GRAPHS: Shortest Path / Bellman Ford / DP
Graphs - Shortest Path,Network Delay Time,Medium,GRAPHS: Shortest Path / Dijkstra / Heap
Graphs - Shortest Path,Number of ways to arrive at destination,Hard,GRAPHS: Shortest Path / Dijkstra / DP
Graphs - Shortest Path,Minimum multiplications to reach end,Hard,GRAPHS: Shortest Path / BFS / 0-1 BFS
Graphs - Shortest Path,Bellman Ford Algorithm,Hard,GRAPHS: Shortest Path
Graphs - Shortest Path,Floyd Warshall,Hard,GRAPHS: Shortest Path / DP
Graphs - Shortest Path,Find city with smallest neighbors,Hard,GRAPHS: Shortest Path / Floyd Warshall
Graphs - MST/DSU,MST theory,Easy,GRAPHS: MST / Basic
Graphs - MST/DSU,Prim's Algorithm,Hard,GRAPHS: MST / Heap
Graphs - MST/DSU,Disjoint Set,Hard,GRAPHS: DSU / Union-Find
Graphs - MST/DSU,Find MST weight,Hard,GRAPHS: MST / Kruskal / DSU
Graphs - MST/DSU,Number of operations to make network connected,Hard,GRAPHS: DSU / Union-Find
Graphs - MST/DSU,Most stones removed,Medium,GRAPHS: DSU / Union-Find
Graphs - MST/DSU,Accounts merge,Hard,GRAPHS: DSU / Union-Find / Hash Maps
Graphs - MST/DSU,Number of islands II,Hard,GRAPHS: DSU / Union-Find
Graphs - MST/DSU,Making a large island,Hard,GRAPHS: DSU / Union-Find / BFS
Graphs - MST/DSU,Swim in Rising Water,Medium,GRAPHS: Shortest Path / Heap / Binary Search
Graphs - Other,Bridges in graph,Hard,GRAPHS: Tarjan / DFS
Graphs - Other,Articulation point,Hard,GRAPHS: Tarjan / DFS
Graphs - Other,Kosaraju's algorithm,Hard,GRAPHS: Strongly Connected / DFS
DP - Introduction,Introduction to DP,Easy,DP (Dynamic Programming): Basic
DP - 1D,Climbing stairs,Medium,DP (Dynamic Programming): 1D
DP - 1D,Frog Jump,Medium,DP (Dynamic Programming): 1D
DP - 1D,Frog jump with K distances,Medium,DP (Dynamic Programming): 1D
DP - 1D,Maximum sum of non adjacent elements,Medium,DP (Dynamic Programming): 1D
DP - 1D,House robber,Medium,DP (Dynamic Programming): 1D
DP - Grids,Ninja's training,Medium,DP (Dynamic Programming): 2D/3D
DP - Grids,Grid Unique Paths,Medium,DP (Dynamic Programming): 2D/3D
DP - Grids,Unique paths II,Medium,DP (Dynamic Programming): 2D/3D
DP - Grids,Minimum Falling Path Sum,Medium,DP (Dynamic Programming): 2D/3D
DP - Grids,Triangle,Medium,DP (Dynamic Programming): 2D/3D
DP - Grids,Ninja and his Friends,Medium,DP (Dynamic Programming): 2D/3D
DP - Subsequences,Subset sum equal to target,Hard,DP (Dynamic Programming): Subsequences
DP - Subsequences,Partition equal subset sum,Hard,DP (Dynamic Programming): Subsequences
DP - Subsequences,Partition into two subsets with min absolute diff,Hard,DP (Dynamic Programming): Subsequences
DP - Subsequences,Count subsets with sum K,Hard,DP (Dynamic Programming): Subsequences
DP - Subsequences,Count partitions with given difference,Hard,DP (Dynamic Programming): Subsequences
DP - Subsequences,Assign Cookies,Easy,DP (Dynamic Programming): Subsequences / Greedy
DP - Subsequences,Minimum Coins,Hard,DP (Dynamic Programming): Subsequences / Unbounded Knapsack
DP - Subsequences,Target sum,Hard,DP (Dynamic Programming): Subsequences
DP - Subsequences,Coin Change 2,Hard,DP (Dynamic Programming): Subsequences / Unbounded Knapsack
DP - Subsequences,Unbounded knapsack,Hard,DP (Dynamic Programming): Subsequences
DP - Subsequences,Rod Cutting,Hard,DP (Dynamic Programming): Subsequences / Unbounded Knapsack
DP - Strings,Longest common subsequence,Hard,DP (Dynamic Programming): Strings
DP - Strings,Print LCS,Hard,DP (Dynamic Programming): Strings
DP - Strings,Longest common substring,Hard,DP (Dynamic Programming): Strings
DP - Strings,Longest palindromic subsequence,Hard,DP (Dynamic Programming): Strings
DP - Strings,Minimum insertions to make palindrome,Hard,DP (Dynamic Programming): Strings
DP - Strings,Min insertions/deletions to convert A to B,Hard,DP (Dynamic Programming): Strings
DP - Strings,Shortest common supersequence,Hard,DP (Dynamic Programming): Strings
DP - Strings,Distinct subsequences,Hard,DP (Dynamic Programming): Strings
DP - Strings,Edit distance,Hard,DP (Dynamic Programming): Strings
DP - Strings,Wildcard matching,Hard,DP (Dynamic Programming): Strings
DP - Stocks,Best time to buy and sell stock,Medium,DP (Dynamic Programming): Stocks / Kadane
DP - Stocks,Best time to buy and sell stock II,Medium,DP (Dynamic Programming): Stocks / Greedy
DP - Stocks,Best time to buy and sell stock III,Medium,DP (Dynamic Programming): Stocks
DP - Stocks,Best time to buy and sell stock IV,Medium,DP (Dynamic Programming): Stocks
DP - Stocks,Best time with Cooldown,Medium,DP (Dynamic Programming): Stocks
DP - Stocks,Best time with transaction fees,Medium,DP (Dynamic Programming): Stocks
DP - LIS,Longest Increasing Subsequence,Medium,DP (Dynamic Programming): LIS / Binary Search
DP - LIS,Print LIS,Medium,DP (Dynamic Programming): LIS / Binary Search
DP - LIS,LIS (DP-43),Medium,DP (Dynamic Programming): LIS / Binary Search
DP - LIS,Largest Divisible Subset,Medium,DP (Dynamic Programming): LIS
DP - LIS,Longest String Chain,Medium,DP (Dynamic Programming): LIS / Hash Maps
DP - LIS,Longest Bitonic Subsequence,Medium,DP (Dynamic Programming): LIS
DP - LIS,Number of LIS,Medium,DP (Dynamic Programming): LIS
DP - MCM/Partition,Matrix chain multiplication,Hard,DP (Dynamic Programming): MCM / Partition
DP - MCM/Partition,MCM Bottom-Up,Hard,DP (Dynamic Programming): MCM / Partition
DP - MCM/Partition,Minimum cost to cut stick,Hard,DP (Dynamic Programming): MCM / Partition
DP - MCM/Partition,Burst balloons,Hard,DP (Dynamic Programming): MCM / Partition
DP - MCM/Partition,Different Ways to Evaluate Boolean Expression,Medium,DP (Dynamic Programming): MCM / Partition / Recursion
DP - MCM/Partition,Palindrome partitioning II,Hard,DP (Dynamic Programming): MCM / Partition
DP - MCM/Partition,Partition Array for Maximum Sum,Medium,DP (Dynamic Programming): MCM / Partition
DP - Squares,Maximum Rectangle Area with all 1s,Hard,DP (Dynamic Programming): Squares / Stack
DP - Squares,Count Square Submatrices with All Ones,Easy,DP (Dynamic Programming): Squares
Tries - Theory,Trie Implementation and Operations,Hard,Tries: Basic
Tries - Problems,Trie Implementation and Advanced Operations,Hard,Tries: Advanced
Tries - Problems,Longest Word with All Prefixes,Medium,Tries: Search / DFS
Tries - Problems,Number of distinct substrings,Medium,Tries: Construction / Hash Maps
Tries - Problems,Bit PreRequisites for TRIE,Easy,Tries: Basic / Bit Manipulation
Tries - Problems,Maximum XOR of two numbers,Hard,Tries: Bit Manipulation / Search
Tries - Problems,Maximum Xor with element from array,Hard,Tries: Bit Manipulation / Search
Strings - Hard,Minimum bracket reversals to balanced,Hard,Stack / Greedy
Strings - Hard,Count and say,Hard,Recursion and Backtracking / Basic
Strings - Hard,Hashing In Strings Theory,Easy,Hash Maps / Basic
Strings - Hard,Rabin Karp Algorithm,Hard,Hash Maps / Rolling Hash
Strings - Hard,Z function,Hard,Two Pointers / String Matching
Strings - Hard,KMP Algorithm or LPS array,Hard,Two Pointers / String Matching / DP
Strings - Hard,Shortest Palindrome,Hard,Two Pointers / KMP / Recursion
Strings - Hard,Longest happy prefix,Hard,KMP / Two Pointers / DP
Strings - Hard,Count Palindromic Subsequences,Medium,DP (Dynamic Programming): Strings
